kernel,classic_cca,aqm,bdp,i,prague throughput,classic throughput,drops,classic,transition,scalable
5.15.72-56eae305c-prague-91,bbr2,CoDel,8,6,32985892.19389234,61900916.5059496,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,8,7,36165856.46881524,58669061.91469328,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,8,0,34471567.89414796,60259425.913172565,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,8,8,34225819.08494937,60484983.05725065,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,8,5,35921230.73695255,58826081.307382435,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,8,2,34591916.10210186,60221162.48069355,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,2,9,42437798.691208385,52501462.54830792,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,2,1,43522152.27674847,51489335.40533458,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,2,4,35431842.76955764,59262641.25045101,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,2,3,42874677.03059073,52100151.475742966,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,2,6,44867750.61362043,50126717.81716066,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,2,7,48851487.34994733,46003639.567087,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,2,0,36340608.29283867,58424386.9375862,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,2,8,50912443.4571709,44168321.0846838,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,2,5,41687554.3463138,53201379.2475336,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,2,2,48676999.31165133,46300625.65485845,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,4,9,36143880.953140564,58766503.6311882,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,4,1,34402670.677989066,60366216.67426098,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,4,4,35152408.78824002,59734489.700166486,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,4,3,34174119.912314266,60485913.2576676,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,4,6,37212489.146404654,57653961.0159811,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,4,7,36637835.32067989,58267492.80629098,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,4,0,34121825.01131566,60661086.92982248,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,4,8,35083508.854411975,59666412.74177532,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,4,5,34733467.88377902,59910149.34969084,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,4,2,35588706.948784955,59296965.35643132,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,0.5,9,43365916.60880386,50599400.177355066,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,0.5,1,44866757.06522627,48955189.91570158,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,0.5,4,46789923.23406516,46877112.78260836,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,0.5,3,45934777.39754845,47909185.952941515,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,0.5,6,46719182.17893945,47400434.220534384,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,0.5,7,41600229.64726075,52380401.41762276,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,0.5,0,44851835.462201536,49307416.042771734,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,0.5,8,43261786.45044634,50495307.59011606,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,0.5,5,43279591.35945433,50775494.1720344,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,0.5,2,41199641.9083235,53150764.551829,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,1,9,57589508.36805094,37373727.07897333,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,1,1,56679746.006101236,38333961.475278884,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,1,4,56522668.7563174,38491267.5300082,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,1,3,53517350.420601286,41444061.191028535,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,1,6,57882606.45425302,37126562.943233974,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,1,7,55368179.4089473,39695930.92512336,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,1,0,56836597.84658564,38158992.978088066,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,1,8,57535066.88864935,37459786.99771134,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,1,5,58057133.3284225,36969239.10429006,,,,
5.15.72-56eae305c-prague-91,bbr2,CoDel,1,2,57028798.06350644,37949330.7108525,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),8,9,1485024.1407128193,92753058.5538121,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),8,1,1485054.3027530375,92737172.96385454,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),8,4,1519979.3581904785,92717114.1521124,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),8,3,1432610.1156833337,92630243.61693467,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),8,6,1467589.2377591669,92773862.11552534,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),8,7,1450104.3102026423,92441357.6538063,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),8,0,1537424.0776103295,92699606.3634507,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),8,8,1502613.0818889851,92934619.47603436,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),8,5,1555026.5784104976,92690041.142433,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),8,2,1467568.966610019,93103083.2796564,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),2,9,1537446.6452975716,92545182.4206465,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),2,1,1554908.5882518634,92700272.04881684,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),2,4,1520081.2490811516,92742463.9352172,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),2,3,1450133.1593809528,93105242.6732164,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),2,6,1502545.0072262592,93087554.1005174,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),2,7,1537430.6096196647,93066779.7644025,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),2,0,1432646.8278254343,93296868.76087973,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),2,8,1485073.429931825,93086710.34996094,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),2,5,1572397.3386765032,92439572.5231642,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),2,2,1572354.5833209138,92646845.36375026,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),4,9,1502536.0695988126,92720084.887773,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),4,1,1519901.61320699,92556392.48242295,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),4,4,1397696.7234268466,92824467.1396361,,,,
